,ID,entrez_id
569,DB00118,262
570,DB00118,4144
571,DB00118,875
572,DB00118,4143
573,DB00118,1312
574,DB00118,23070
575,DB00118,57412
576,DB00118,1571
577,DB00118,6723
578,DB00119,9123
579,DB00119,6567
580,DB00119,64902
581,DB00119,9121
582,DB00119,5313
583,DB00119,9120
584,DB00119,9194
585,DB00119,5162
586,DB00119,5315
587,DB00119,18
588,DB00119,9122
589,DB00119,23539
590,DB00119,6566
591,DB00119,5091
592,DB00119,9194
593,DB00119,6566
594,DB00119,117247
595,DB00119,6578
596,DB00119,9123
597,DB00120,6898
598,DB00120,23428
599,DB00120,2193
600,DB00120,5053
601,DB00120,10667
602,DB00120,10056
603,DB00120,7054
604,DB00120,117247
605,DB00121,5096
606,DB00121,3141
607,DB00121,8884
608,DB00121,64087
609,DB00121,32
610,DB00121,56922
611,DB00121,5091
612,DB00121,5095
613,DB00121,31
614,DB00121,1545
615,DB00122,9468
616,DB00122,43
617,DB00122,5130
618,DB00122,5338
619,DB00122,590
620,DB00122,5337
621,DB00122,162466
622,DB00122,1139
623,DB00122,10390
624,DB00122,1120
625,DB00122,1103
626,DB00122,1119
627,DB00122,55349
628,DB00122,6582
629,DB00122,6580
630,DB00122,6581
631,DB00122,6584
632,DB00122,6583
633,DB00122,23446
634,DB00122,80736
635,DB00122,57153
636,DB00122,126969
637,DB00122,60482
638,DB00123,6541
639,DB00123,6545
640,DB00123,84889
641,DB00123,6542
642,DB00123,
643,DB00123,117247
644,DB00123,6583
645,DB00125,4846
646,DB00125,84889
647,DB00125,113451
648,DB00125,435
649,DB00125,4843
650,DB00125,6541
651,DB00125,384
652,DB00125,6545
653,DB00125,445
654,DB00125,6584
655,DB00125,117247
656,DB00125,6583
657,DB00126,3938
658,DB00126,
659,DB00126,5352
660,DB00126,5264
661,DB00126,8985
662,DB00126,8424
663,DB00126,1621
664,DB00126,5066
665,DB00126,5033
666,DB00126,64175
667,DB00126,79676
668,DB00126,121642
669,DB00126,55214
670,DB00126,10536
671,DB00126,55239
672,DB00126,112398
673,DB00126,221120
674,DB00126,8284
675,DB00126,54583
676,DB00126,9963
677,DB00126,5351
678,DB00126,112399
679,DB00126,55217
680,DB00126,54681
681,DB00126,9963
682,DB00127,6611
683,DB00127,54498
684,DB00127,4953
685,DB00127,846
686,DB00127,153
687,DB00127,154
688,DB00127,7498
689,DB00127,6303
690,DB00127,112483
691,DB00127,6583
692,DB00127,6580
693,DB00128,6035
694,DB00128,4069
695,DB00128,10165
696,DB00128,2805
697,DB00128,443
698,DB00128,440
699,DB00128,445
700,DB00128,95
701,DB00128,2806
702,DB00128,
703,DB00128,8604
704,DB00128,444
705,DB00128,10606
706,DB00128,790
707,DB00128,
708,DB00128,6505
709,DB00128,
710,DB00128,
711,DB00128,55157
712,DB00128,80150
713,DB00128,
714,DB00128,91703
715,DB00128,117247
716,DB00129,4942
717,DB00129,5009
718,DB00129,383
719,DB00129,4946
720,DB00129,6542
721,DB00129,83884
722,DB00129,6545
723,DB00129,6541
724,DB00129,384
725,DB00129,10166
726,DB00129,84889
727,DB00129,4947
728,DB00129,2628
729,DB00129,51686
730,DB00130,1503
731,DB00130,5471
732,DB00130,2752
733,DB00130,2162
734,DB00130,2744
735,DB00130,27165
736,DB00130,7052
737,DB00130,9333
738,DB00130,343641
739,DB00130,7051
740,DB00130,7047
741,DB00130,7053
742,DB00130,116179
743,DB00130,8833
744,DB00130,440
745,DB00130,
746,DB00130,5198
747,DB00130,5188
748,DB00130,9945
749,DB00130,790
750,DB00130,
751,DB00130,55191
752,DB00130,117247
753,DB00130,10991
754,DB00130,6510
755,DB00130,23428
756,DB00131,1385
757,DB00131,5292
758,DB00131,5142
759,DB00131,5836
760,DB00131,5564
761,DB00131,3094
762,DB00131,5144
763,DB00131,84532
764,DB00131,55902
765,DB00131,5562
766,DB00131,5565
767,DB00131,107
768,DB00131,2180
769,DB00131,2203
770,DB00131,132
771,DB00131,270
772,DB00131,353
773,DB00132,3992
774,DB00132,9415
775,DB00132,6546
776,DB00132,7442
777,DB00132,6785
778,DB00132,5465
779,DB00132,9971
780,DB00132,5467
781,DB00132,5468
782,DB00132,6256
783,DB00132,2173
784,DB00133,875
785,DB00133,10993
786,DB00133,63826
787,DB00133,9517
788,DB00133,10558
789,DB00133,
790,DB00133,189
791,DB00133,117247
792,DB00134,4552
793,DB00134,4548
794,DB00134,10988
795,DB00134,635
796,DB00134,23743
797,DB00134,2752
798,DB00134,4524
799,DB00134,4144
800,DB00134,22921
801,DB00134,4143
802,DB00134,51734
803,DB00134,4482
804,DB00134,
805,DB00134,92935
806,DB00134,27430
807,DB00134,117247
808,DB00135,7054
809,DB00135,51067
810,DB00135,
811,DB00135,6898
812,DB00135,6567
813,DB00135,117247
814,DB00136,7421
815,DB00136,3206
816,DB00136,1591
817,DB00136,1576
818,DB00136,2638
819,DB00137,213
820,DB00138,23657
821,DB00138,1497
822,DB00138,11136
823,DB00138,6519
824,DB00138,117247
825,DB00139,6391
826,DB00139,56670
827,DB00139,64064
828,DB00139,55217
829,DB00139,8803
830,DB00139,1468
831,DB00139,6389
832,DB00139,8630
833,DB00139,64849
834,DB00139,9058
835,DB00139,6561
836,DB00139,8801
837,DB00139,6392
838,DB00139,8974
839,DB00139,8985
840,DB00139,8424
841,DB00139,5033
842,DB00139,6390
843,DB00139,7915
844,DB00139,8802
845,DB00139,5019
846,DB00139,5351
847,DB00139,444
848,DB00139,64175
849,DB00139,55214
850,DB00139,10536
851,DB00139,9376
852,DB00140,55312
853,DB00140,
854,DB00140,645
855,DB00140,4128
856,DB00140,4524
857,DB00140,9356
858,DB00141,8703
859,DB00141,8702
860,DB00141,8704
861,DB00141,55577
862,DB00141,51172
863,DB00141,4669
864,DB00141,5973
865,DB00141,2683
866,DB00142,2911
867,DB00142,2914
868,DB00142,2900
869,DB00142,2901
870,DB00142,2917
871,DB00142,2918
872,DB00142,6512
873,DB00142,26873
874,DB00142,5198
875,DB00142,587
876,DB00142,2906
877,DB00142,2895
878,DB00142,116444
879,DB00142,5188
880,DB00142,2744
881,DB00142,2806
882,DB00142,
883,DB00142,440
884,DB00142,2752
885,DB00142,2805
886,DB00142,6898
887,DB00142,2875
888,DB00142,2677
889,DB00142,6507
890,DB00142,6506
891,DB00142,6505
892,DB00142,2729
893,DB00142,6511
894,DB00142,2747
895,DB00142,8833
896,DB00142,586
897,DB00142,18
898,DB00142,2902
899,DB00142,2356
900,DB00142,2028
901,DB00142,2903
902,DB00142,2904
903,DB00142,2905
904,DB00142,
905,DB00142,124454
906,DB00142,51557
907,DB00142,55191
908,DB00142,
909,DB00142,162417
910,DB00142,51166
911,DB00142,116443
912,DB00142,84706
913,DB00142,83733
914,DB00142,79751
915,DB00142,10157
916,DB00142,27165
917,DB00142,23549
918,DB00142,2894
919,DB00142,23657
920,DB00142,10404
921,DB00142,29968
922,DB00142,2746
923,DB00142,2897
924,DB00142,2890
925,DB00142,2730
926,DB00142,2346
927,DB00142,2572
928,DB00142,2571
929,DB00142,10841
930,DB00142,2891
931,DB00142,2892
932,DB00142,2893
933,DB00142,5832
934,DB00142,2898
935,DB00142,2899
936,DB00142,117247
937,DB00142,6566
938,DB00143,4259
939,DB00143,27306
940,DB00143,51060
941,DB00143,2938
942,DB00143,2939
943,DB00143,4257
944,DB00143,2098
945,DB00143,2678
946,DB00143,2946
947,DB00143,2745
948,DB00143,2879
949,DB00143,2949
950,DB00143,257202
951,DB00143,3029
952,DB00143,2876
953,DB00143,493869
954,DB00143,2882
955,DB00143,4258
956,DB00143,119391
957,DB00143,51022
958,DB00143,2739
959,DB00143,4056
960,DB00143,2936
961,DB00143,2937
962,DB00143,2944
963,DB00143,373156
964,DB00143,2940
965,DB00143,2947
966,DB00143,2941
967,DB00143,2948
968,DB00143,221357
969,DB00143,2950
970,DB00143,9446
971,DB00143,2876
972,DB00143,2877
973,DB00143,2952
974,DB00143,2954
975,DB00143,2880
976,DB00143,2878
977,DB00143,231
978,DB00143,4318
979,DB00143,1576
980,DB00143,2939
981,DB00143,2938
982,DB00143,4363
983,DB00143,1244
984,DB00143,8714
985,DB00143,10257
986,DB00143,10057
987,DB00144,1608
988,DB00144,8527
989,DB00144,81490
990,DB00144,55627
991,DB00144,55512
992,DB00144,10396
993,DB00144,5578
994,DB00144,9791
995,DB00144,23761
996,DB00144,949
997,DB00145,23464
998,DB00145,211
999,DB00145,212
1000,DB00145,2653
1001,DB00145,
1002,DB00145,2903
1003,DB00145,570
1004,DB00145,2841
1005,DB00145,2937
1006,DB00145,2905
1007,DB00145,10249
1008,DB00145,206358
1009,DB00145,6472
1010,DB00145,219970
1011,DB00145,92292
1012,DB00145,64902
1013,DB00145,140679
1014,DB00145,51268
1015,DB00145,9152
1016,DB00145,116444
1017,DB00145,2731
1018,DB00145,6536
1019,DB00145,2741
1020,DB00145,189
1021,DB00145,2743
1022,DB00145,6470
1023,DB00145,8001
1024,DB00145,2742
1025,DB00145,27232
1026,DB00145,2628
1027,DB00145,117247
1028,DB00146,7421
1029,DB00146,1594
1030,DB00146,1591
1031,DB00147,8566
1032,DB00148,1158
1033,DB00148,548596
1034,DB00148,1152
1035,DB00148,1160
1036,DB00148,6535
1037,DB00148,2593
1038,DB00148,6584
1039,DB00149,23395
1040,DB00149,587
1041,DB00149,586
1042,DB00149,9836
1043,DB00149,51451
1044,DB00149,
1045,DB00149,117247
1046,DB00149,6567
1047,DB00150,10352
1048,DB00150,
1049,DB00150,
1050,DB00150,6999
1051,DB00150,1644
1052,DB00150,
1053,DB00150,10352
1054,DB00150,7166
1055,DB00150,121278
1056,DB00150,
1057,DB00150,3620
1058,DB00150,6567
1059,DB00150,117247
1060,DB00151,2730
1061,DB00151,2729
1062,DB00151,2805
1063,DB00151,1491
1064,DB00151,875
1065,DB00151,
1066,DB00151,4255
1067,DB00151,2937
1068,DB00151,80704
1069,DB00151,79587
1070,DB00151,51380
1071,DB00151,9054
1072,DB00151,1036
1073,DB00151,117247
1074,DB00152,27010
1075,DB00152,10560
1076,DB00152,1580
1077,DB00152,6582
1078,DB00152,6580
1079,DB00152,6584
1080,DB00153,7421
1081,DB00153,786
1082,DB00153,1591
1083,DB00153,1594
1084,DB00153,1593
1085,DB00153,120227
1086,DB00153,1583
1087,DB00153,2638
1088,DB00154,5742
1089,DB00154,5743
1090,DB00154,2173
1091,DB00155,445
